Vraw= -46.583 mV | Vcorr=  -0.444 mV | G2 (105.0) | Idx: 214
Vraw= -45.691 mV | Vcorr=  -0.435 mV | G2 (105.0) | Idx: 215
Vraw= -42.224 mV | Vcorr=  -0.402 mV | G2 (105.0) | Idx: 216
Vraw= -34.465 mV | Vcorr=  -0.328 mV | G2 (105.0) | Idx: 217
Vraw= -41.273 mV | Vcorr=  -0.393 mV | G2 (105.0) | Idx: 218
Vraw= -46.260 mV | Vcorr=  -0.441 mV | G2 (105.0) | Idx: 219
Vraw= -51.281 mV | Vcorr=  -0.488 mV | G2 (105.0) | Idx: 220
Vraw= -44.750 mV | Vcorr=  -0.426 mV | G2 (105.0) | Idx: 221
Vraw= -32.143 mV | Vcorr=  -0.306 mV | G2 (105.0) | Idx: 222
Vraw= -38.691 mV | Vcorr=  -0.368 mV | G2 (105.0) | Idx: 223
Vraw= -39.583 mV | Vcorr=  -0.377 mV | G2 (105.0) | Idx: 224
Vraw= -39.656 mV | Vcorr=  -0.378 mV | G2 (105.0) | Idx: 225
Vraw= -37.109 mV | Vcorr=  -0.353 mV | G2 (105.0) | Idx: 226
Vraw= -32.928 mV | Vcorr=  -0.314 mV | G2 (105.0) | Idx: 227
Vraw= -33.587 mV | Vcorr=  -0.320 mV | G2 (105.0) | Idx: 228
Vraw= -29.709 mV | Vcorr=  -0.283 mV | G2 (105.0) | Idx: 229
Vraw= -32.232 mV | Vcorr=  -0.307 mV | G2 (105.0) | Idx: 230
Vraw= -31.031 mV | Vcorr=  -0.296 mV | G2 (105.0) | Idx: 231
Vraw= -35.408 mV | Vcorr=  -0.337 mV | G2 (105.0) | Idx: 232
Vraw= -31.340 mV | Vcorr=  -0.298 mV | G2 (105.0) | Idx: 233
Vraw= -30.616 mV | Vcorr=  -0.292 mV | G2 (105.0) | Idx: 234
Vraw= -30.483 mV | Vcorr=  -0.290 mV | G2 (105.0) | Idx: 235
Vraw= -20.524 mV | Vcorr=  -0.195 mV | G2 (105.0) | Idx: 236
Vraw= -22.281 mV | Vcorr=  -0.212 mV | G2 (105.0) | Idx: 237
Vraw= -22.024 mV | Vcorr=  -0.210 mV | G2 (105.0) | Idx: 238
Vraw= -22.979 mV | Vcorr=  -0.219 mV | G2 (105.0) | Idx: 239
Vraw= -26.265 mV | Vcorr=  -0.250 mV | G2 (105.0) | Idx: 240
Vraw= -23.581 mV | Vcorr=  -0.225 mV | G2 (105.0) | Idx: 241
Vraw= -29.692 mV | Vcorr=  -0.283 mV | G2 (105.0) | Idx: 242
Vraw= -26.045 mV | Vcorr=  -0.248 mV | G2 (105.0) | Idx: 243
Vraw= -23.535 mV | Vcorr=  -0.224 mV | G2 (105.0) | Idx: 244
Vraw= -29.835 mV | Vcorr=  -0.284 mV | G2 (105.0) | Idx: 245
Vraw= -32.854 mV | Vcorr=  -0.313 mV | G2 (105.0) | Idx: 246
Vraw= -34.463 mV | Vcorr=  -0.328 mV | G2 (105.0) | Idx: 247
Vraw= -28.186 mV | Vcorr=  -0.268 mV | G2 (105.0) | Idx: 248
Vraw= -20.955 mV | Vcorr=  -0.200 mV | G2 (105.0) | Idx: 249
Vraw= -20.194 mV | Vcorr=  -0.192 mV | G2 (105.0) | Idx: 250
Vraw= -28.740 mV | Vcorr=  -0.274 mV | G2 (105.0) | Idx: 251
Vraw= -23.986 mV | Vcorr=  -0.228 mV | G2 (105.0) | Idx: 252
Vraw= -26.987 mV | Vcorr=  -0.257 mV | G2 (105.0) | Idx: 253
Vraw= -38.460 mV | Vcorr=  -0.366 mV | G2 (105.0) | Idx: 254
Vraw= -47.536 mV | Vcorr=  -0.453 mV | G2 (105.0) | Idx: 255
Vraw= -46.288 mV | Vcorr=  -0.441 mV | G2 (105.0) | Idx: 256
Vraw= -38.817 mV | Vcorr=  -0.370 mV | G2 (105.0) | Idx: 257
Vraw= -33.306 mV | Vcorr=  -0.317 mV | G2 (105.0) | Idx: 258
Vraw= -24.943 mV | Vcorr=  -0.238 mV | G2 (105.0) | Idx: 259
Vraw= -28.977 mV | Vcorr=  -0.276 mV | G2 (105.0) | Idx: 260
Vraw= -30.999 mV | Vcorr=  -0.295 mV | G2 (105.0) | Idx: 261
Vraw= -21.542 mV | Vcorr=  -0.205 mV | G2 (105.0) | Idx: 262
Vraw= -20.576 mV | Vcorr=  -0.196 mV | G2 (105.0) | Idx: 263
Vraw= -22.718 mV | Vcorr=  -0.216 mV | G2 (105.0) | Idx: 264
Vraw= -20.519 mV | Vcorr=  -0.195 mV | G2 (105.0) | Idx: 265
Vraw= -17.806 mV | Vcorr=  -0.170 mV | G2 (105.0) | Idx: 266
Vraw= -18.564 mV | Vcorr=  -0.177 mV | G2 (105.0) | Idx: 267
Vraw=  -9.067 mV | Vcorr=  -0.086 mV | G2 (105.0) | Idx: 268
Vraw=  -8.872 mV | Vcorr=  -0.084 mV | G2 (105.0) | Idx: 269
Vraw= -21.144 mV | Vcorr=  -0.201 mV | G2 (105.0) | Idx: 270
